ID;Question
96;В каком году родился Willuam Genry Gates третий
97;Что из перечисленного относится к паталогиям почек
98;Что изобрёл Альфред Нобель?
99;С какого расстояния назначают пенальти в футболе?
100;В каком году впервые отметили «День России»?
101;Как звали слугу главного героя из капитанской дочки?
102;Кто был самым первым ведущим программы «В мире животных»?
103;Кто был основателем первого паровоза в России?
104;У ежа 4 г, у собаки – 100 г, у лошади – 500 г, у слона – 4-5 кг, у человека – 1,4 кг. Чего?
105;Происхождение китайской хохлатой собаки неизвестно, но, по некоторым данным, это могло произойти из какого из этих мест?
106;Каким было первое видео на YouTube?
107;Какого материка не существует?
108;Радиус какой планеты составляет 26000 км?
109;Сколько субъектов в Российской Федерации?
110;Кто выиграл Чемпионат мира по футболу в 1998 году?
111;Какая из этих стран на данный момент входит в Евросоюз?
112;Что такое ватерпас?
113;В какой период времени существовала опричнина?
114;Как зовут дедушку Лунтика?
115;Сколько романов Стивен Кинг опубликовал под псевдонимом Ричард Бахман?
116;В каком году родился Николай Коперник?
117;Где находится Море Москвы?
118;В какой стране футбол получил первые единые правила и регламент игры?
119;В каком году состоялся дебют группы TWICE?
120;Древние греки называли ее «Борисфен», римляне «Данапарис», турки «Узу» ,Славяне «Славутич», как называется эта река сейчас?
121;Сколько у улитки зубов?
122;В каком году был создан Петрозаводск
123;Кто открыл Америку?
124;в каком году было залито первое видео на youtube
125;Что из перечисленного не относится к анатомии человека?
126;Кто из самок этих насекомых не убивает самца при спаривании?
127;Согласно пословице, до какой столицы может довести язык
128;Какой термин означает возвращение на родину военнопленных и гражданских лиц, оказавшихся за ее пределами?
129;Каким был пескарь в сказке Салтыкова-Щедрина?
130;Какая самая крупная река в Италии
131;Какой предмет самый главный для путешествия в космосе по руководству автостопщика
132;В какой Европейской стране нет рек и других источников пресной воды?
133;Какая страна считается родиной танца Полька?
134;Кому принадлежит выражение «Краткость - сестра таланта»?
135;Что такое «папайя»?
136;Какому жуку поклонялись в Древнем Египте?
137;Где восходит солнце?
138;Какого роста был Наполеон
139;В какой стране жила самая известная женщина-пират?
140;Куда впадают воды реки Рио-Гранде?
141;В какой футбольный клуб перешёл Криштиану Роналду в этом году?
142;Как звали первую жену Петра 1?
143;Сколько было президентов при СССР?
144;"Какой фразы не было в песне ""Алладин"""
145;Какой маршал СССР командовал парадом Победы в Москве 24 июня 1945 года?
146;Сколько сантиметров в одном километре?
147;По одной из версий, этот термин получил новое название, потому что охрана порядка на некоторых футбольных матчах усиливалась за счёт полицейских-кавалеристов. Назовите этот термин.
148;Как называется луч, который делит угол пополам?
149;Что такое sketch book?
150;Какая из песен группы nickelback принесла им их популярность?
151;Как зовут основателя ВКонтакте?
152;Как называется-боязнь длинных слов?
153;Как с древнеславянского переводится слово язва?
154;Существует 3 формы ячменя озимый, яровой и ....
155;Как называют людей, имеющих гражданство двух и более государств
156;В каком городе НЕ пройдут матчи чемпионата мира по футболу 2018?
157;Кому продал акции ВКонтакте Дуров?
158;В честь какой горной системы Азии российский географ Петр Петрович Семенов получил вторую часть фамилии?
159;Где воды содержиться больше?
160;Как называется крупнейшее по площади пресноводное озеро Европы?
161;Дата призвания Варяг править Русью
162;Где происходит знакомство Гурова и «дамы с собачкой» в одноименном произведении А.П. Чехова?
163;Первый Президент Российской Федерации
164;Холодное морское течение в Атлантическом океане, протекающее между побережьем Канады и Гренландией?
165;Какой марки был первый прототип портативного сотового телефона?
166;Кто такой В.Н.Татищев ?
167;ГугОл - это сколько?
168;зависает клевер
169;2+2+2*2+2*2
170;В каком городе проходила летняя универсиада 2013
171;Как называется самая высокая гора Солнечной системы?
172;В каком году родился Альберт Эйнштейн?
173;Кто послужил прототипом Лоры Палмер?
174;Какие два государства имеют одинаковый флаг?
175;в какой части человека находится голень?
176;На чём держался первый «Chupa Chups»?
177;Кто самый высокооплачиваемый актер?
178;Во время ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЕ сколько погибло граждан СССР?
179;Как называется фонетическое явление сингармонизма в германских языках?
180;Как ответить правильно на все вопросы клевера
181;Какое животное самое быстрое на короткие дистанции?
182;Кого из персонажей мультфильма Гравити Фолз озвучивает его автор Алекс Хирш?
183;Сколько длилась самая короткая война?
184;В каком году была принята конституция Российской Федерации?
185;Какая страна выиграла 1 чемпионат мира по футболу среди мужчин
186;Что изображено на фотографии, ставшей для миллионов американцев символом окончания Второй мировой войны?
187;Какой опирационной системы не существует?
188;НЕ ОТОБРАЖАЮТСЯ СТИКЕРЫ ВКОНТАКТЕ!! А КЛЕВЕРСОВ УЖЕ 5000
189;От какого из перечисленных заболеваний женщины страдают несравнимо реже мужчин?
190;В каком году была создана первая Windows?
191;Какой метал дороже?
192;Какие языки знал художник Винсент Ван Гог?
193;Какой самый большой самолёт в мире?
194;Сколько бит было в игровых консолях 4-го поколения
195;Какая страна НЕ входит в НАТО?
196;Что вращается вокруг Земли?
197;По реке плывёт кирпич, деревянный как ....
198;Кто подарил казакам земли?
199;Какого апостола выбрали по воле жребия ?
200;Ьжпедьр
201;Что такое H2O?
202;Памятник какой великой троице футболистов «Манчестер Юнайтед» установлен около стадиона «Олд Траффорд»?
203;Что есть у логарифма?
204;Сколько в месяце из 30 дней часов?
205;День рождения числа ПИ отмечается...
206;Что из перечисленного не является синонимом чайного гриба?
207;Кто играет в хоккей под номером 8
208;Какое время будет на часах в г. Южно-Сахалинске, когда в г. Москва ровно 11 часов дня?
209;День рождение Ленина
210;Сколько часов в году?
211;Какая из девушек сериала «Друзья» так и не родила?
212;Сколько глаз у обыкновенной мухи?
213;Какие школьные предметы в себя включает математика?
214;Какое государство находится одновременно в двух частях мира?
215;Какой город имеет статус неофициальной газовой «столицы» России?
216;В какой из этих стран официально НЕ признано существование НЛО?
217;Как называется парламент в России?
218;Из какого языка к нам пришло слово, которое сегодня всем известно нам как Банк?
219;Какова скорость света?
220;Что кровавое и не кровавое
221;Кто из нижеперечисленных Индуиских богов является отцом бога Сканда?
222;Не появляются вопросы на экране, хотя интернет очень хороший, что делать и почему такое происходит
223;Какой город есть и в США, и на Украине?
224;Какая столица является самой многонаселенной?
225;На какой улице жили герои детской телепередачи: Зелибоба, Кубик и Бусинка?
226;Какой официальный язык в США?
227;Как звали няню Александра Сергеевича Пушкина?
228;Сестры с каким именем НЕТ у Ким Кардашьян?
229;Сколько зубов у взрослой собаки?
230;Как получить жизни?\nЕсли все друзья уже в игре
231;В каком городе родился боксер Константин Цзю?
232;Кто изобрёл плавкий предохранитель?
233;Как звали Оренбуржского казака?
234;Из чего состоит рог единорога
235;Кто отменил крепостное право в России?
236;Самая широкая река в России?
237;В каком году умер Лжедмитрий 1 ?
238;В какой стране есть Черный лес?
239;Чем является помидор?
240;На какой игровой платформе вышла первая игра Super Mario?
241;С каким цветом волос людей меньше всего?
242;Кого называют церем тайги?
243;Как называется роман Оноре де Бальзака, эпиграфом которого является горизонтально извивающаяся чёрная линия?
244;Когда была созданна компания Coca Cola?
245;Как называлась самая высокая гора в СССР?
246;Сколько морей омывают Балканский полуостров?
247;Как называется роман Жан-Поля Сартра?
248;Как называется приём игры на гитаре, при котором происходит быстрое многократное повторение одного звука?
249;Какой свет имеет наибольшую длину волны?
250;Почему Каспийское море не является морем ?
251;Как ныне называется город Ништадт (известный мирным договором)?  Хорошо для 30 августа/10 сентября
252;На каком месте в мире по высоте расположено здание Эмпайр-стейт-билдинг
253;Кто был первым князем Великого княжества Литовского?
254;"Как в большом теннисе правильно называется  ""подача на вылет""?"
255;Что означает аббревиатура IT?
256;В каком году была Октябрьская революция?
257;На флаге какой страны НЕТ белого цвета?
258;Кто автор книги войны горо
259;Как называется специалистка, печатающая на пишущей машинке?
260;в каком городе существует детский сад для мужчин  варианты  гамбург лос анжелес нью ёрк
261;Наибольшее число голов в одном матче, забитых одним игроком в Чемпионате Мира по футболу?
262;Как называют военнослужащих в войсках вдв
263;Какая из этих московских рок-групп появилась раньше?
264;Разновидность ухаживания, показывающая на некую возможность или ожидание сексуальных отношений, при этом не слишком поднимая уровень обещаний
265;Где находится город Нальчик
266;"Какая из девушек сериала ""Друзья"" так и не родила?"
267;В какой стране впервые появилась головоломка судоку?
268;Каким образом страусы чаще всего спасаются от опасности?
269;У нас кнут и пряник, а у Англичан?
270;Кто становился чемпионом мира в четырёх весовых категориях?
271;Какое поле появляется вокруг любого предмета?
272;"Какой номер был у ""Нехорошее квартиры"" из романа М. А. Булгакова ""Мастер и Маргарита""?"
273;Самый длинный пролив  России?
274;Какое королевство недавно было переименовано в «Эсватини»?
275;Какая река в мире самая полноводная?
276;"Как звали почтальона, в известом мультфильме""промтоквашино? Иван Егор Петя"
277;Какой футбольный клуб не выигрывал Лигу Европы?
278;На какие вопросы отвечают слова обозначающий предмет в Именительном падеже?
279;Кто ищ писателей в середине 19 века был заместителем главы Рязани и руководителем местной Казенной палаты ?
280;В каком году впервые был проведён канский кинофестиваль?
281;Что в буквальном переводе с английского означает аббревиатура «PR»?
282;У какой птицы есть мочевой пузырь?
283;Как называется первый альбом группы Pink Floyd ?
284;Какой из фильмов не вошел в трилогию оушена?
285;Мама мальчику  сказала не трогай печенье   он полез и разбил тарелку   а  другому сказали чтобы отнёс тарелки он нечайно разбил 5 торелок вопрос кто больше виноват
286;В каком году был изобретен дизельный двигатель?
287;"Какого персонажа НЕТ в мультфильме ""Скуби Ду"""
288;Кто сыграл лейтенанта Коломбо в одноименном сериале?
289;Какого цвета у меня простынь?
290;Из скольких рукавов состоит устье Амазонки
291;Какие птицы НЕ умеют летать?
292;Какая воздушная сладость в переводе с французского языка означает слово поцелуй?
293;Сколько лет Вконтакте?
294;День рождения В.И. Ульянова (Ленина)
295;Какой город является столицей Австралии?
296;Казахстанская  валюта
297;Когда праздновали Новый Год в Христианской Руси?
298;Какая планета находится ближе всего к Нептуну?
299;Какая из этих рек самая длинная?
300;Какая рекордная сумма разыгрывать за всю историю клевера ?
301;Какой город является столицой Узбекистана?
302;В каком городе родился Христофор Колумб?
303;Как называется балетный термин,обозначающий сгибание одной либо обеих ног?
304;Что такое Рамбутан?
305;Какая бомба была сброшена на японский город  Нагасаки?
306;Какое из представителей животного мира спасло древний Рим?
307;В каком году родился Александр Сергеевич Пушкин
308;В каком году родился призедент РФ В.В.Путин?
309;2004 г .Тимати попал в телепроект ?
310;Сколько звуков в слове ель
311;Какой футбольный клуб выиграл Лигу Чемпионов УЕФА 2017\/2018?
312;Между какими странами протекает Тасманово море?
313;Кто придумал радио?
314;Как звали инопланетянина из известного комедийной серии?
315;Каким газом заправляют холодильник
316;В какой стране появилась традиция пить чай с молоком?
317;Кто НЕ является переносчиком чумы?
318;Как называется лучший сорт каменного угля?
319;Как звали маму Аллы Пугачовой?
320;Как находится формула мощности?
321;Лучший футболист XX века по версии футбольной Комиссии ФИФА - это..
322;Сколько времени будет в Нью-Йорке, когда в Москве будут отмечать Новый год?
323;На флаге какого из этих городов изображён медведь?
324;Кто был третьим прездентом России ?
325;Что такое полифония?
326;Как называются слова одинаковые по написанию, но разные в произношении?
327;Какое самое маленькое млекопитающие в мире?
328;Дюжина - это сколько?
329;Где находится уневерсетет Гнесинки
330;Что означает название книги Рэя Брэдбери «451 градус по Фаренгейту»?
331;В каком году на евровидении выступала Алла Пугачева?
332;Где находится самое засушливое место в мире?
333;В каком виде спорта зафиксирована самая высокая скорость спортивного снаряда?
334;В каком году открылся Музей Лувра?
335;Как назывался мифический остров-государство, погрузившийся на дно?
336;Как называется боязнь высоты?
337;Как называется оплодотворённая яйцеклетка?
338;Как называется самая большая лягушка?
339;Какое самое большое здание в мире?
340;В какой эпохе жил И.С.Бах?
341;Здравствуйте почиму друзя невидно на меню клевер за друзями я отвичат немогу
342;В древнегреческой мифологии сыном какого бога был Сизиф?
343;Актера игравшего какого персонажа оригинальной трилогии Звездных войн на данный момент нет  в живых
344;Эта африканская страна в апреле 2018 года сменила свое название на Эсватини.
345;Какая фамилия девочки, которая вела знаменитый блокадный дневник во время блокады Ленинграда
346;Сколько вдохов в минуту делает человек в состоянии отдыха?
347;По указу какого императора в России появились колбасные цеха?
348;В каком году стрельба из лука вошла в программу Олимпиады?
349;В каком году был основан Петром I Санкт-Петербург?
350;"Продолжите фразу ""Клевер- игра ......."
351;Какой частью всей суши Земли является Россия
352;Как называется верблюд у которого два горба?
353;У кого из «вампиров» кровь пьют только самки?
354;Какая страна создала бренд Fanta?
355;Назовите настоящее имя человека- паука
356;Горячие водяные фонтанирующие источники - это:
357;В каком году был основан Петербург?
358;Назовите самое соленое море в Мировом океане
359;Какая из сказок не является режиссерской работой Александра Роу?
360;Кто написал «Над пропастью во ржи»?
361;Кто создал неоновую лампу?
362;Сколько лет нашему президенту?
363;Где появился самый первый в мире цирк?
364;здравствуйте я не правильно ответила на 3 вопрос и использовала жизнь а мне это не защитал в чем причина? играла в 20.00 по мск 24.08.2018
365;Чем пахнет метро?
366;Кто из этих композиторов владел шестью иностранными языками, в том числе персидским?
367;как скачать приложение на ПК
368;Какая война была в период с 1853 по 1856?
369;В каком году умер Борис Львович Васильев?
370;Что такое Абаза?
371;Какая река является третим по величине притоком Волги?
372;Президент какой страны объявил праздник и выходной день в связи с выходом их сборной на ЧМ по футболу 2018?
373;Сколько человек находится одновременно на площадке при игре в пляжный волейбол
374;Какая сборная выиграла чемпионат мира 1966 года?
375;Сколько стоит дополнительная жизнь в игре ,,Клевер,,?
376;Что такое «абак»?
377;Что обозначает слово БАЯЗЕТ
378;В каком городе проходила летняя Универсиада 2013 года?
379;В каком году произошла раздробленность на Руси?
380;В каком городе России трамвай едет по тайге?
381;Годы жизни Елизаветы первой?
382;Как НЕ назывался город Кингисепп лен.об-ти
383;У какого из деревьев древесина как губка?
384;Бронза - это сплав...
385;Какая самая большая дикая кошка в мире?
386;Какая сборная по футболу победила в первом чемпионате мира, который проходил в 1930 г.?
387;В чём кипятят воду?
388;Как называется здание, в котором содержат больных проказой?
389;При каком императоре Российской Империи было отменено крепостное право?
390;Кто согласно поговорке платит дважды?
391;Какой машиностроительный завод получил премию что лучших товаров России 2016?
392;Как Старка из Мстителей называет Тора
393;Какая страна победила на евровидение 2011-ого года?
394;Согласно  пословице,до какой столицы может довести язык?
395;Как называются жёсткие волосы в шерсти кошек, считающиеся важным органом чувств и помогающие ей ориентироваться в пространстве?
396;Одно из названий капточной масти ??
397;Сколько сезон в сериале Секретные материалы
398;Что означает имя верховного божества из греческой мифологии Зевса
399;Где находится город Перт?
400;Сколько детей было у Николая II?
401;Как звали отца Александра Пушкина?
402;Как звали тонкого в рассказе А. П. Чехова «Толстый и тонкий»?
403;Сколько полей-квадратиков на шахматной доске?
404;Как называются белорусские картофельные блины с начинкой из фарша?
405;Сколько осталось тигров в дикой природе
406;Сколько длился самый короткий авиарейс?
407;Из-за чего Уолт Дисней прекратил озвучивать мультик «Микки Маус» в 1947 году?
408;сколько зубов у взрослого человека?
409;Какого камня бесконечности не существует в киновселенной MARVEL?
410;В каком из этих регионов побывал Робинзон Крузо в продолжении романа Д. Дефо?
411;Как называется детеныш норки?
412;В каком году человека запустили в космос?
413;В каком из предложенных советских фильмов впервые был продемонстрирован АК-47?
414;Во сколько лет меняют паспорт последний раз?
415;Кто создал сериал <<Покемон>>
416;Сколько горошин входит в шкаф
417;Когда Дональд Трамп вступил в должность президента США?
418;Какой князь назвал город Киев матерью городов русских?
419;Кто придумал первый детский сад?
420;Сколько часовых зон на терриротрии России?
421;В каком году образовался СССР?
422;На что похож один из 4-х лепестков клевера, в который вы так любите играть?
423;"Что означает выражение ""Разрубить Гордиев узел""?"
424;Что означает H2O?
425;Отчего утка плавает
426;Самая мощная футбольная команда в мире
427;Какой день самый длинный в северном полушарии
428;Пищеварительным органоидом  в клетке является
429;В какой стране любил отдыхать п.Чайковский у трёх озёр с графиней ф.мек
430;Где находится самый высокий небоскрёб мира?
431;Олимпийское кольцо какого континента не раскрылось на открытии Олимпиады в Сочи в 2014 году ?
432;Из сколько цветов состоит радуга ?
433;В каком городе проходили последние 15 боев Флойда Мейвезера?
434;В каком году появилась социальная сеть Вконтакте ?
435;1000 - это 10 в какой степени?
436;Какой химический элемент на данный момент открыли последним (в 2010 году)?
437;Какое слово означает «глаз»?
438;Сколько глаз у пчёл?
439;Как на латинском будет дом?
440;Закуп - это
441;Чьи это законы «Ну надо же так!», «Я так и ...»
442;В каком году Италия объединилась под предводительством Виктора Эммануила II?
443;В каком году закончилась великая отечественная война?
444;Если при наборе текста на клавиатуре телефона печатать слово: «можно» и опечататься в «ж», что получится то?чно?
445;Какой из альбомов oxxxymirona вышел раньше??
446;В переводе с греческого языка это слово означает “песнь подвыпивших гуляк”
447;Что делает страус при виде опасности?
448;Птица мира. Или символ мира. Какая это птица?
449;Как называется свойство световых волн огибать кромки встречного препятствия?
450;Под каким псевдонимом писал свои произведения Алексей Пешков?
451;Кто из перечисленных может дольше обходиться без воды?
452;Какая команда выиграла Чемпионат России по футболу 1995 года?
453;Какая кость в черепе человека по очертаниям похожа на бабочку?
454;Разгадкой какого вида кроссворда является рисунок?
455;Кто из перечисленных животных относится к парнокопытным?
456;Сколько килограмм весит воздух в одной комнате
457;В каком году была издана жалованная грамота дворянству?
458;Каких химических элементов меньше всего в клетке
459;Будут ли забраны деньги у игроков, ответивших в 10 вопросе сегодняшней игры не сливовый, и при этом получившим 378 рублей?
460;Какая настоящая фамилия у Иосифа Виссарионович Сталин
461;Какая страна является родиной керлинга
462;Какой национальный символ Великобритании?
463;Какое число является числом ПИ?
464;В какой день, в 1941 году, началась Великая Отечественная война?
465;Чем знаменит Павловский Посад?
466;Каким путем делятся половые клетки?
467;Какой женщине впервые присуждена индивидуальная Нобелевская премия?
468;Кем была основана популярная телеигра Что?Где?Когда?
469;Как звали собаку Петра I ?
470;К какому литературному направлению принадлежит творчество В. В. Маяковского?
471;В каком городе находится самое быстрое метро в мире?
472;В каком году появился первый государственный заемный банк?
473;Какой император воевал с Наполеоном?
474;Монгольский боевой клич
475;Кто не является героем произведений Агаты Кристи?
476;Столица какого госугосударства омывается Атлантическим океаном?
477;В каком году сборная Бразилии по футболу впервые выиграла чемпионат мира ?
478;Что Кухулину помогло преодолеть Равнину Несчастья?
479;Самая большая звезда во вселенной?
